playerId,name,I_F_flurryAdjustedxGoals,games_played
8470775,Nate Thompson,92.35,839
8470777,Francis Wathier,0.19,10
8470778,Drew Miller,68.17,545
8470780,Mark Flood,2.01,39
8470787,Drew Bagnall,0.02,2
8470794,Joe Pavelski,405.56,1202
8470798,Dylan Reese,2.82,78
8470803,Kyle Brodziak,113.51,821
8470804,Mathieu Roy,0.66,35
8470809,Jeremy Williams,1.27,12
8470816,Jay Rosehill,5.01,117
8470828,Toby Enstrom,38.5,637
8470834,Dustin Byfuglien,157.11,768
8470838,Andrew Joudrey,0.01,1
8470839,Shane O'Brien,11.97,379
8470843,Nathan McIver,0.19,18
8470852,Matt Moulson,164.14,620
8470854,Tanner Glass,35.22,486
8470867,Troy Bodie,12.84,159
8470871,Chris Porter,23.63,234
8470876,Nick Tarnasky,6.53,76
8470877,David Jones,89.23,436
8470886,Clayton Stoner,9.33,360
8470896,Steve MacIntyre,1.53,91
8470899,Triston Grant,0.04,3
8470905,Randy Jones,9.74,195
8470920,David Clarkson,108,482
8470966,Mark Giordano,107.63,1092
8470970,Drew Larman,0.45,4
8470986,Darryl Boyce,6.34,83
8470988,Bryan Rodney,1.7,34
8470996,Danny Syvret,1.38,33
8471004,Aaron MacKenzie,0.3,5
8471011,Garrett Stafford,0.43,5
8471185,Curtis Glencross,93.43,435
8471187,Brett Lebda,9.55,198
8471188,Andy Wozniewski,0.01,3
8471208,Dustin Penner,96.16,406
8471214,Alex Ovechkin,572.37,1245
8471215,Evgeni Malkin,362.17,1052
8471216,Cam Barker,14.93,229
8471217,Andrew Ladd,198.07,844
8471218,Blake Wheeler,307.71,1171
8471220,Rostislav Olesz,30.56,175
8471221,Alexandre Picard,2.49,24
8471222,Ladislav Smid,10.82,441
8471223,Boris Valabik,1.11,73
8471226,Drew Stafford,151.72,736
8471228,Alexander Radulov,101.12,378
8471229,Petteri Nokelainen,14.52,173
8471231,Kyle Chipchura,32.97,446
8471232,Lauri Korpikoski,91.02,609
8471233,Travis Zajac,167.14,875
8471234,Wojtek Wolski,58.11,289
8471235,Lukas Kaspar,1.24,13
8471236,Andrej Meszaros,32.66,399
8471237,Kris Chucko,0,2
8471238,Rob Schremp,16.34,110
8471240,Jeff Schultz,5.18,299
8471241,Mark Fistric,5.54,287
8471242,Mike Green,88.67,705
8471245,Dave Bolland,64.19,393
8471246,Chris Bourque,4.24,46
8471253,Grant Lewis,0.09,1
8471254,Bryan Bickell,43.57,388
8471260,Blake Comeau,129.74,852
8471261,Dane Byers,1,13
8471262,Carl Soderberg,119.55,595
8471263,Enver Lisin,17.69,105
8471265,Raymond Sawada,0.3,11
8471266,David Booth,104.28,409
8471268,Victor Oreskovich,4.87,67
8471269,Nicklas Grossmann,13.14,522
8471273,Brandon Dubinsky,148.52,735
8471274,Alex Goligoski,79.63,1072
8471276,David Krejci,197.24,969
8471277,Martins Karsums,2.42,24
8471279,Sami Lepisto,6.79,169
8471280,Nick Johnson,18.8,113
8471282,Casey Borer,0,5
8471283,Brandon Prust,45.74,476
8471284,Andrej Sekera,48.89,802
8471288,Scott Lehman,0,1
8471290,Peter Olvecky,1.52,32
8471296,Alexei Emelin,14.94,456
8471299,Peter Regin,37.37,243
8471303,Alexander Edler,82.41,932
8471309,Johan Franzen,116.1,380
8471310,Dustin Boyd,22.21,158
8471311,Tyler Kennedy,80.51,471
8471312,JT Wyman,3.51,44
8471314,Mike Lundin,4.69,171
8471321,Brett Carson,1.68,90
8471323,Ryan Jones,50.88,334
8471324,Liam Reddox,12.84,99
8471326,Patrick Bordeleau,5.16,129
8471327,Wes O'Neill,0.08,5
8471331,Kevin Porter,25.22,249
8471334,Alexander Nikulin,0.04,1
8471336,David Laliberte,0.85,11
8471338,Torrey Mitchell,56.86,583
8471339,Ryan Callahan,190.13,691
8471346,Kris Versteeg,127.33,630
8471348,Nikita Nikitin,16.71,259
8471352,Jake Dowell,11.55,138
8471359,Janne Niskala,0.35,6
8471360,Steve Regier,0.64,8
8471362,Mikhail Grabovski,110.98,506
8471365,Steven Zalewski,0.43,10
